Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
106,Should I Stay or Should I Go - Remastered,The Clash,1982,https://www.youtube.com/watch?v=xMaE6toi4mk,12283ef2698fa0755c84420193eb19399abfbf7839a002f88c3f354906e0c6b7,The Clash - Should I Stay or Should I Go (Official Video),GBARL1200670
107,Scar Tissue,Red Hot Chili Peppers,1999,https://www.youtube.com/watch?v=YlUKcNNmywk,00e873146368b21b0012d9456b71e4cb90edccc4b1b645fc44f705364342d6a2,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],USWB19900674
108,Ace of Spades,Motörhead,1980,https://www.youtube.com/watch?v=3mbvWn1EY6g,e0811d7dc5773e605f09863fae8d6bc9ebc5bade8604833683d0923a080b8596,Motörhead – Ace Of Spades (Official Video),GBAJE8000033
109,18 and Life,Skid Row,1989,https://www.youtube.com/watch?v=ztzkz0r1RG8,77d8eefc8d56c3b687c1b24b3fb32d455d4e9e24fbfa5761f4fcddfff77f2320,18 and Life,USAT20901906
110,Green Onions,Booker T. & the M.G.'s,1962,https://www.youtube.com/watch?v=0oox9bJaGJ8,25cda61682cd866c67695e9480b0c35df1a10a1e5a30f5a7a0103a6f7140801d,Booker T. & The MG's - Green Onions (Official Audio),USAT20000736
111,Iron Man,Black Sabbath,1970,https://www.youtube.com/watch?v=0qanF-91aJo,8936b3a8bcfc007a094db54d8afcca3cf67a9dfeb0bf9373f8f41b141f918045,"BLACK SABBATH - ""Paranoid"" (Official Video)",GBAJE7000085
112,The Summoning,Sleep Token,2023,https://www.youtube.com/watch?v=tH37hvuSJPo,a321e6d45755a3e169667b4ef7cb11cb3e0c7f35329630ed233bc7c936b14f16,The Summoning by Sleep Token Lyric. #SleepToken #TheSummoning #HeavyMetal #Music #Rock #Lyric #Song,GBUM72200352
113,Bulletproof,Godsmack,2018,https://www.youtube.com/watch?v=wKdOrFGojQE,a5e08a40871e4607ae27fa44f0e72f517a24d75ef6e55571ba03ae4fe9b2921c,Godsmack - Bulletproof (Audio),QMRSZ1703237
114,Hit the Road Jack,Ray Charles,1961,https://www.youtube.com/watch?v=uSiHqxgE2d0,57fc2639c4b399638b84e2d0a8d1656d0be1b7566607cbf4832f41be27eabbee,Ray Charles - Hit The Road Jack (Official Lyrics Video),FR6V81229417
115,Circle With Me,Spiritbox,2021,https://www.youtube.com/watch?v=I0WzT0OJ-E0,ea205baa241e274cf98383f37adebde035eab9e8e437334305fa6d2a0eefea0d,Spiritbox - Circle With Me (Official Music Video),QMRSZ2100664
